,frame,model,detections,avg_confidence,small_objects,runtime_s,fps_estimate
156,390,YOLOv8n,6,0.558,3,0.0567,17.65
157,390,Faster R-CNN,37,0.652,24,2.2096,0.45
158,395,YOLOv8n,6,0.552,3,0.0576,17.35
159,395,Faster R-CNN,28,0.712,17,2.1473,0.47
160,400,YOLOv8n,6,0.52,3,0.0576,17.36
161,400,Faster R-CNN,30,0.683,19,2.1974,0.46
162,405,YOLOv8n,7,0.556,2,0.0535,18.69
163,405,Faster R-CNN,31,0.671,19,2.1818,0.46
164,410,YOLOv8n,10,0.489,3,0.0657,15.21
165,410,Faster R-CNN,31,0.666,19,2.1433,0.47
166,415,YOLOv8n,7,0.575,2,0.0536,18.66
167,415,Faster R-CNN,30,0.715,16,2.1849,0.46
168,420,YOLOv8n,6,0.549,2,0.0529,18.9
169,420,Faster R-CNN,30,0.739,20,2.1614,0.46
170,425,YOLOv8n,8,0.566,3,0.0596,16.78
171,425,Faster R-CNN,31,0.683,18,2.1874,0.46
172,430,YOLOv8n,8,0.584,2,0.0571,17.5
173,430,Faster R-CNN,36,0.637,24,2.1425,0.47
174,435,YOLOv8n,9,0.559,3,0.0563,17.75
175,435,Faster R-CNN,32,0.677,20,2.1784,0.46
176,440,YOLOv8n,9,0.505,2,0.0598,16.73
177,440,Faster R-CNN,29,0.745,20,2.1664,0.46
178,445,YOLOv8n,11,0.532,2,0.0609,16.43
179,445,Faster R-CNN,30,0.648,22,2.1789,0.46
180,450,YOLOv8n,10,0.516,3,0.053,18.88
181,450,Faster R-CNN,29,0.695,18,2.161,0.46
182,455,YOLOv8n,10,0.484,4,0.0508,19.7
183,455,Faster R-CNN,25,0.711,13,2.1814,0.46
184,460,YOLOv8n,8,0.63,2,0.0579,17.28
185,460,Faster R-CNN,26,0.69,16,2.1836,0.46
186,465,YOLOv8n,8,0.601,3,0.0549,18.22
187,465,Faster R-CNN,21,0.779,12,2.1819,0.46
188,470,YOLOv8n,7,0.622,2,0.0551,18.14
189,470,Faster R-CNN,28,0.698,16,2.2121,0.45
190,475,YOLOv8n,8,0.569,2,0.0722,13.85
191,475,Faster R-CNN,25,0.735,14,2.278,0.44
192,480,YOLOv8n,11,0.529,3,0.0605,16.54
193,480,Faster R-CNN,32,0.677,19,2.2187,0.45
194,485,YOLOv8n,11,0.539,2,0.0572,17.48
195,485,Faster R-CNN,27,0.734,15,2.2294,0.45
196,490,YOLOv8n,11,0.42,4,0.0511,19.55
197,490,Faster R-CNN,22,0.711,13,2.2161,0.45
198,495,YOLOv8n,5,0.539,2,0.0539,18.57
199,495,Faster R-CNN,20,0.677,13,2.2316,0.45
200,500,YOLOv8n,7,0.509,3,0.0538,18.6
201,500,Faster R-CNN,18,0.616,10,2.2631,0.44
202,505,YOLOv8n,6,0.569,2,0.0572,17.49
203,505,Faster R-CNN,15,0.655,8,2.2266,0.45
204,510,YOLOv8n,5,0.583,1,0.0589,16.99
205,510,Faster R-CNN,19,0.62,9,2.1471,0.47
206,515,YOLOv8n,4,0.589,1,0.0565,17.69
207,515,Faster R-CNN,20,0.602,11,2.1341,0.47
208,520,YOLOv8n,7,0.513,2,0.0573,17.45
209,520,Faster R-CNN,21,0.588,12,2.1624,0.46
210,525,YOLOv8n,5,0.567,1,0.0618,16.19
211,525,Faster R-CNN,21,0.587,13,2.2193,0.45
212,530,YOLOv8n,5,0.607,1,0.0538,18.6
213,530,Faster R-CNN,21,0.573,12,2.1758,0.46
214,535,YOLOv8n,5,0.594,1,0.0588,17
215,535,Faster R-CNN,20,0.594,12,2.1785,0.46
216,540,YOLOv8n,5,0.549,1,0.0711,14.07
217,540,Faster R-CNN,20,0.615,12,2.2077,0.45
218,545,YOLOv8n,5,0.628,1,0.0524,19.07
219,545,Faster R-CNN,23,0.578,14,2.1597,0.46
220,550,YOLOv8n,4,0.688,1,0.0566,17.67
221,550,Faster R-CNN,23,0.615,13,2.1951,0.46
222,555,YOLOv8n,5,0.591,1,0.057,17.54
