,frame,model,detections,avg_confidence,small_objects,runtime_s,fps_estimate
159,395,Faster R-CNN,0,0,0,2.5941,0.39
160,400,YOLOv8n,0,0,0,0.0523,19.13
161,400,Faster R-CNN,0,0,0,2.5195,0.4
162,405,YOLOv8n,0,0,0,0.0497,20.14
163,405,Faster R-CNN,0,0,0,2.5392,0.39
164,410,YOLOv8n,0,0,0,0.0676,14.8
165,410,Faster R-CNN,0,0,0,2.6052,0.38
166,415,YOLOv8n,0,0,0,0.0522,19.15
167,415,Faster R-CNN,0,0,0,2.4928,0.4
168,420,YOLOv8n,0,0,0,0.0657,15.22
169,420,Faster R-CNN,0,0,0,2.5456,0.39
170,425,YOLOv8n,0,0,0,0.0532,18.8
171,425,Faster R-CNN,0,0,0,2.7529,0.36
172,430,YOLOv8n,0,0,0,0.0837,11.94
173,430,Faster R-CNN,0,0,0,2.6847,0.37
174,435,YOLOv8n,0,0,0,0.0526,19.03
175,435,Faster R-CNN,0,0,0,2.5685,0.39
176,440,YOLOv8n,0,0,0,0.0538,18.6
177,440,Faster R-CNN,0,0,0,2.594,0.39
178,445,YOLOv8n,0,0,0,0.0723,13.83
179,445,Faster R-CNN,0,0,0,2.8087,0.36
180,450,YOLOv8n,0,0,0,0.0726,13.78
181,450,Faster R-CNN,0,0,0,2.7334,0.37
182,455,YOLOv8n,0,0,0,0.0609,16.41
183,455,Faster R-CNN,0,0,0,2.3307,0.43
184,460,YOLOv8n,0,0,0,0.0492,20.32
185,460,Faster R-CNN,0,0,0,2.2815,0.44
186,465,YOLOv8n,0,0,0,0.0518,19.31
187,465,Faster R-CNN,0,0,0,2.1995,0.45
188,470,YOLOv8n,0,0,0,0.0546,18.32
189,470,Faster R-CNN,0,0,0,2.2832,0.44
190,475,YOLOv8n,0,0,0,0.0569,17.57
191,475,Faster R-CNN,0,0,0,2.3407,0.43
192,480,YOLOv8n,0,0,0,0.0523,19.12
193,480,Faster R-CNN,0,0,0,2.1877,0.46
194,485,YOLOv8n,0,0,0,0.0496,20.17
195,485,Faster R-CNN,1,0.363,1,2.0793,0.48
196,490,YOLOv8n,1,0.708,1,0.0668,14.97
197,490,Faster R-CNN,1,0.999,1,2.1626,0.46
198,495,YOLOv8n,1,0.841,1,0.0532,18.79
199,495,Faster R-CNN,1,0.999,1,2.1393,0.47
200,500,YOLOv8n,1,0.838,1,0.0535,18.7
201,500,Faster R-CNN,1,0.999,1,2.146,0.47
202,505,YOLOv8n,1,0.532,1,0.0481,20.81
203,505,Faster R-CNN,1,0.999,1,2.1607,0.46
204,510,YOLOv8n,1,0.715,1,0.0499,20.03
205,510,Faster R-CNN,1,0.997,1,2.1413,0.47
206,515,YOLOv8n,1,0.828,0,0.0525,19.05
207,515,Faster R-CNN,1,0.999,1,2.1819,0.46
208,520,YOLOv8n,1,0.794,0,0.0603,16.58
209,520,Faster R-CNN,1,0.997,1,2.2111,0.45
210,525,YOLOv8n,1,0.796,1,0.0579,17.26
211,525,Faster R-CNN,2,0.71,1,2.2223,0.45
212,530,YOLOv8n,1,0.724,0,0.058,17.24
213,530,Faster R-CNN,2,0.994,1,2.3407,0.43
214,535,YOLOv8n,1,0.814,1,0.0603,16.58
215,535,Faster R-CNN,2,0.982,1,2.2605,0.44
216,540,YOLOv8n,1,0.759,1,0.0489,20.45
217,540,Faster R-CNN,3,0.764,2,2.2195,0.45
218,545,YOLOv8n,2,0.688,1,0.0563,17.77
219,545,Faster R-CNN,4,0.755,3,2.2324,0.45
220,550,YOLOv8n,1,0.608,0,0.0521,19.19
221,550,Faster R-CNN,3,0.675,2,2.1844,0.46
222,555,YOLOv8n,1,0.466,0,0.0549,18.23
223,555,Faster R-CNN,5,0.716,4,2.1663,0.46
224,560,YOLOv8n,1,0.39,0,0.0648,15.43
225,560,Faster R-CNN,4,0.72,2,2.1671,0.46
226,565,YOLOv8n,3,0.497,1,0.0593,16.88
227,565,Faster R-CNN,3,0.921,1,2.1626,0.46
228,570,YOLOv8n,3,0.703,1,0.0511,19.56
229,570,Faster R-CNN,3,0.938,1,2.209,0.45
230,575,YOLOv8n,3,0.772,1,0.0505,19.81
231,575,Faster R-CNN,4,0.819,2,2.1722,0.46
232,580,YOLOv8n,3,0.764,1,0.0545,18.36
233,580,Faster R-CNN,8,0.683,6,2.2574,0.44
234,585,YOLOv8n,3,0.827,1,0.055,18.18
235,585,Faster R-CNN,3,0.987,1,2.1352,0.47
236,590,YOLOv8n,4,0.484,3,0.0515,19.41
237,590,Faster R-CNN,4,0.806,3,2.1616,0.46
238,595,YOLOv8n,0,0,0,0.0524,19.1
239,595,Faster R-CNN,1,0.815,1,2.1582,0.46
240,600,YOLOv8n,0,0,0,0.0504,19.83
241,600,Faster R-CNN,0,0,0,2.1129,0.47
242,605,YOLOv8n,0,0,0,0.0498,20.07
243,605,Faster R-CNN,0,0,0,2.136,0.47
244,610,YOLOv8n,0,0,0,0.0529,18.89
245,610,Faster R-CNN,0,0,0,2.2262,0.45
246,615,YOLOv8n,0,0,0,0.0484,20.65
247,615,Faster R-CNN,0,0,0,2.1848,0.46
248,620,YOLOv8n,0,0,0,0.0486,20.57
249,620,Faster R-CNN,0,0,0,2.191,0.46
250,625,YOLOv8n,0,0,0,0.0502,19.92
251,625,Faster R-CNN,0,0,0,2.2008,0.45
252,630,YOLOv8n,0,0,0,0.0601,16.65
253,630,Faster R-CNN,0,0,0,2.1703,0.46
254,635,YOLOv8n,0,0,0,0.05,20
255,635,Faster R-CNN,0,0,0,2.2391,0.45
256,640,YOLOv8n,0,0,0,0.0544,18.39
257,640,Faster R-CNN,0,0,0,2.1713,0.46
258,645,YOLOv8n,0,0,0,0.051,19.62
259,645,Faster R-CNN,0,0,0,2.202,0.45
